Date,CLOSE
2017-01-03,216.99
2017-01-04,226.99
2017-01-05,226.75
2017-01-06,229.01
2017-01-09,231.28
2017-01-10,229.87
2017-01-11,229.73
2017-01-12,229.59
2017-01-13,237.75
2017-01-17,235.58
2017-01-18,238.36
2017-01-19,243.76
2017-01-20,244.73
2017-01-23,248.92
2017-01-24,254.61
2017-01-25,254.47
2017-01-26,252.51
2017-01-27,252.95
2017-01-30,250.63
2017-01-31,251.93
2017-02-01,249.24
2017-02-02,251.55
2017-02-03,251.33
2017-02-06,257.77
2017-02-07,257.48
2017-02-08,262.08
2017-02-09,269.2
2017-02-10,269.23
2017-02-13,280.6
2017-02-14,280.98
2017-02-15,279.76
2017-02-16,268.95
2017-02-17,272.23
2017-02-21,277.39
2017-02-22,273.51
2017-02-23,255.99
2017-02-24,257.0
2017-02-27,246.23
2017-02-28,249.99
2017-03-01,250.02
2017-03-02,250.48
2017-03-03,251.57
2017-03-06,251.21
2017-03-07,248.59
2017-03-08,246.87
2017-03-09,244.9
2017-03-10,243.69
2017-03-13,246.17
2017-03-14,258.0
2017-03-15,255.73
2017-03-16,262.05
2017-03-17,261.5
2017-03-20,261.92
2017-03-21,250.68
2017-03-22,255.01
2017-03-23,254.78
2017-03-24,263.16
2017-03-27,270.22
2017-03-28,277.45
2017-03-29,277.38
2017-03-30,277.92
2017-03-31,278.3
2017-04-03,298.52
2017-04-04,303.7
2017-04-05,295.0
2017-04-06,298.7
2017-04-07,302.54
2017-04-10,312.39
2017-04-11,308.71
2017-04-12,296.84
2017-04-13,304.0
2017-04-17,301.44
2017-04-18,300.25
2017-04-19,305.52
2017-04-20,302.51
2017-04-21,305.6
2017-04-24,308.03
2017-04-25,313.79
2017-04-26,310.17
2017-04-27,308.63
2017-04-28,314.07
2017-05-01,322.83
2017-05-02,318.89
2017-05-03,311.02
2017-05-04,295.46
2017-05-05,308.35
2017-05-08,307.19
2017-05-09,321.26
2017-05-10,325.22
2017-05-11,323.1
2017-05-12,324.81
2017-05-15,315.88
2017-05-16,317.01
2017-05-17,306.11
2017-05-18,313.06
2017-05-19,310.83
2017-05-22,310.35
2017-05-23,303.86
2017-05-24,310.22
2017-05-25,316.83
2017-05-26,325.14
2017-05-30,335.1
