Date,AAPL.O,MSFT.O,INTC.O,AMZN.O,GS.N,SPY,EUR=,XAU=,GDX,GLD
2013-01-11,18.582124274999998,26.83,22.0,13.397,137.13,147.07,1.3343,1662.44,45.4,161.06
2013-01-14,17.9196249375,26.89,21.999,13.636500000000002,136.13,146.97,1.3382,1666.8,45.23,161.54
2013-01-15,17.354268360000003,27.21,21.88,13.594999999999999,135.59,147.07,1.3303,1678.5,45.59,162.558
2013-01-16,18.0746247825,27.04,22.11,13.4465,141.09,147.05,1.3289,1678.89,45.21,162.65
2013-01-17,17.952839190000002,27.25,22.68,13.524000000000001,141.01,148.0,1.3374,1687.26,45.0,163.35
2013-01-18,17.857125,27.25,21.25,13.606000000000002,144.45,148.33,1.3317,1683.34,45.11,163.09
2013-01-21,,,,,,,1.3312,1689.55,,
2013-01-22,18.027481972500002,27.15,21.17,13.509500000000001,145.95,149.13,1.332,1691.6,45.82,163.67
2013-01-23,18.35730307125,27.61,21.11,13.405500000000002,145.56,149.37,1.3316,1685.14,44.56,163.21
2013-01-24,16.089269625,27.63,20.95,13.681000000000001,144.96,149.41,1.3374,1667.36,43.23,161.42
2013-01-25,15.709984290000001,27.88,20.96,14.1995,144.46,150.25,1.346,1658.31,41.92,160.65
2013-01-28,16.0653410775,27.911,21.05,13.802000000000001,144.15,150.07,1.3455,1654.34,41.48,160.29
2013-01-29,16.3667693475,28.01,21.28,13.017500000000002,147.1,150.66,1.3491,1663.45,42.25,160.99
2013-01-30,16.315340827500002,27.85,21.37,13.638200000000001,147.15,150.07,1.3567,1676.7,41.96,162.19
2013-01-31,16.2674837325,27.45,21.04,13.275,147.86,149.7,1.3578,1662.99,41.62,161.2
2013-02-01,16.200698085000003,27.93,21.355,13.25,149.9,151.24,1.3639,1666.54,42.22,161.45
2013-02-04,15.796984203000001,27.44,21.16,12.999000000000002,147.52,149.535,1.3513,1674.0,42.34,162.0
2013-02-05,16.351555077,27.495,21.1784,13.3445,150.45,151.05,1.3581,1672.6,42.26,161.96
2013-02-06,16.3339122375,27.34,20.99,13.111000000000002,151.12,151.16,1.352,1677.11,42.54,162.39
2013-02-07,16.722126135000003,27.283,20.81,13.011500000000002,150.26,150.96,1.3396,1670.69,42.6,161.84
2013-02-08,16.963554465,27.55,21.0,13.0975,151.6,151.8,1.3363,1666.89,42.32,161.57
2013-02-11,17.1403400025,27.86,21.03,12.8605,152.24,151.77,1.3406,1649.36,41.47,159.7
2013-02-12,16.710697575,27.88,21.19,12.935,154.11,152.02,1.3453,1650.4,41.92,159.89
2013-02-13,16.6789118925,28.03,21.25,13.473500000000001,154.52,152.151,1.3453,1642.36,41.2,159.05
2013-02-14,16.6639119075,28.04,21.23,13.462000000000002,155.93,152.29,1.336,1634.46,41.36,158.348
2013-02-15,16.434269280000002,28.01,21.115,13.2545,154.99,152.11,1.3362,1609.06,39.89,155.76
2013-02-18,,,,,,,1.3351,1609.55,,
2013-02-19,16.428197857500002,28.045,21.085,13.4875,158.65,153.25,1.3386,1604.21,39.37,155.33
2013-02-20,16.0303411125,27.87,20.73,13.320500000000003,155.18,151.34,1.328,1562.29,37.45,151.44
2013-02-21,15.930698355,27.49,20.25,13.297,150.88,150.42,1.3188,1575.66,38.12,152.62
2013-02-22,16.100341042500002,27.76,20.42,13.271,154.09,151.89,1.3188,1580.3,37.93,152.97
