date,hd_ch,sb_ch,ic_ch,ax_ch,ko_ch,fe_ch,ba_ch,in_ch,rb_ch,bhf_ch,pred_bnf
2019-12-26 09:15:00+05:30,-0.2643240301640435,-0.37678975131876413,-0.05547337278107771,0.14893040888167108,-0.08481516144127547,-0.23405500292569084,0.8531746031746055,0.583224115334213,0.1488316713796696,-0.07674085466057287,0.005426112624393632
2019-12-26 09:30:00+05:30,0.0660373693819785,-0.01507386192342821,-0.07401924500369676,0.027070925825654006,-0.11126727570860219,0.2915451895043732,-0.2187313581228918,0.09165902841430476,-0.059559261465154445,0.005426112624393632,0.03347534525324028
2019-12-26 09:45:00+05:30,0.09701955914312324,-0.0754261577915221,0.08320236664510408,-0.02030869212022438,0.13158279481856194,0.17462165308498914,0.15882469724042314,-0.20663190002950987,-0.4937902139757696,0.03347534525324028,0.0021696646783262202
2019-12-26 10:00:00+05:30,0.03493246390312416,-0.24191109767160912,0.07390300230946462,0.060893098782144175,0.22464698331193309,-0.05824111822948325,-0.1391650099403556,-0.006560173188581128,-0.1498351813005694,0.0021696646783262202,-0.04030914009751711
2019-12-26 10:15:00+05:30,-0.08935161804126421,-0.1362604087812229,0.10152284263958551,-0.033847820200379096,-0.046701692936366286,0.0,-0.029829969175693995,-0.05250894292933967,-0.014985763524654989,-0.04030914009751711,-0.02946549590429607
2019-12-26 10:30:00+05:30,0.03883344336142286,-0.1516300227445034,0.009228497600582232,0.060897219027003915,-0.05257623554154054,0.0,-0.06965174129353686,-0.233583366232396,-0.19519519519518835,-0.02946549590429607,-0.0794620173109201
2019-12-26 10:45:00+05:30,-0.03106675468914535,0.10607667828457824,-0.10161662817551123,-0.1966101694915316,-0.014606643101282464,-0.05830903790087132,-0.029859659599876034,-0.19775873434410018,-0.2710027100270934,-0.0794620173109201,-0.02219686915489365
2019-12-26 11:00:00+05:30,-0.0777272550619875,-0.07584951456310679,0.01846892603195544,0.06775067750677506,-0.017531044558068927,-0.05830903790087132,0.02985074626865219,-0.07916611690196897,0.3599280143971172,-0.02219686915489365,-0.023910258898422476
2019-12-26 11:15:00+05:30,-0.08168345715507834,0.15146925174189638,0.009233610341635185,-0.09494743981011129,-0.03507438692893982,0.0,0.03978516013526728,-0.0528052805280498,-0.06002400960383813,-0.023910258898422476,-0.07100705720029753
2019-12-26 11:30:00+05:30,-0.050589562984013,-0.0303076223670322,-0.10167298271558452,-0.0067833401166672806,-0.21382542472173938,0.0,-0.19932230416583616,-0.07926809129042148,-0.015008254540000411,-0.07100705720029753,-0.05036867068683505
2019-12-26 11:45:00+05:30,-0.06230044389067689,0.030298439630365926,-0.027736686390549364,-0.013568521031210683,-0.1643192488262884,-0.11675423234091571,-0.31993601279743367,-0.05948643378828537,-0.045045045045038215,-0.05036867068683505,-0.025659208390094612
2019-12-26 12:00:00+05:30,0.0817025249970962,-0.04546832373447533,-0.11106997408365586,-0.013570362328677261,-0.07050735920561976,0.05830903790087132,-0.02000000000000455,-0.2983194670025523,-0.030039050766002627,-0.025659208390094612,-0.023489076801512358
2019-12-26 12:15:00+05:30,-0.15196976191402548,0.015146925174193082,0.120181196265134,0.06780580417683754,-0.11470588235294385,0.0,-0.1803245842516484,0.05631749817795727,0.10502625656414785,-0.023489076801512358,0.0623384214543753
2019-12-26 12:30:00+05:30,0.02726812356354712,0.19658248903673894,-0.06475485661425028,0.1692276450280918,0.0,0.0,0.05006508460999299,0.22146563977127137,0.13485166317050903,0.0623384214543753,-0.040591547937682715
2019-12-26 12:45:00+05:30,-0.0428682774746652,-0.045378913931319695,0.02774438176268885,-0.10842312123059626,0.0,0.0,-0.12030075187970381,0.026437541308664304,-0.30057108506161706,-0.040591547937682715,-0.1582571772589398
2019-12-26 13:00:00+05:30,-0.17177435096623428,-0.21221767470061803,-0.12037037037036616,-0.149304377332884,-0.17678255745433116,-0.17502917152857814,-0.43294401933144927,-0.11579818031430934,-0.015017269860342805,-0.1582571772589398,0.04079567129899504
2019-12-26 13:15:00+05:30,0.1831145050064214,0.015158405335762124,0.0,-0.2244592572439093,0.02356545304584016,-0.058377116170457856,0.08048289738430126,0.1090620662304244,0.10499475026249369,0.04079567129899504,-0.07370333550444388
2019-12-26 13:30:00+05:30,-0.1951905059337914,-0.21266899589854033,-0.04631773969430292,0.2578018995929413,0.04710870333293808,-0.05834305717619272,0.20080321285140562,-0.15225738117305587,0.13485166317050903,-0.07370333550444388,-0.10935252696374137
2019-12-26 13:45:00+05:30,-0.3054391666993062,-0.12165450121653809,0.027788069655423728,-0.16989466530750935,0.055910308095226756,0.05830903790087132,0.24038461538461312,-0.09933774834437085,0.20939276099311654,-0.10935252696374137,-0.1393416886275579
2019-12-26 14:00:00+05:30,-0.054841742400487156,-0.22858884486437062,-0.12056014096262214,0.0407636388341692,-0.22118674059219062,-0.3508771929824528,0.2995805871779509,-0.1293060574914655,-1.4108009708737794,-0.1393416886275579,0.04434022063942686
2019-12-26 14:15:00+05:30,0.023495320515327135,0.22806750798236278,-0.11146201003158514,0.013586033557490532,0.1795754953045397,-0.05847953216373936,-0.13999999999999774,0.07619931089319447,0.19699954538565762,0.04434022063942686,0.09810649780079461
2019-12-26 14:30:00+05:30,0.2460937500000071,0.015202189115218768,0.018578727357180257,0.0,-0.017666283897179547,0.05844535359438593,0.0999000999000999,0.09598517194585413,0.48265460030166596,0.09810649780079461,-0.04728678420216101
