date,AMZN,AAPL,MSFT,GM,SPX
2022-06-22,0.002484357747515542,-0.0038271877529992837,-0.0024040356270198515,0.005821078431372584,-0.0013015334188627437
2022-06-23,0.03203304268012852,0.021573697820465476,0.022636589894520665,0.004873591227535945,0.009532193760987795
2022-06-24,0.03575240128068291,0.024517248860924212,0.03414973344665051,0.05547135495604727,0.03056329085577736
2022-06-27,-0.02782071097372485,0.0,-0.010496824803884919,-0.005456634118322756,-0.002973101484249896
2022-06-28,-0.05140434552199247,-0.029789637159395754,-0.03174902789837275,-0.018481085763788596,-0.02014302160708281
2022-06-29,0.014152700186219613,0.013023864959254894,0.014737991266375428,-0.015887025595763382,-0.000711753084481459
2022-06-30,-0.024880646345942004,-0.018027723910076787,-0.013179128563743925,-0.05052316890881914,-0.008759227302603145
2022-07-01,0.0315412861312494,0.01616442363955528,0.010707471868551144,0.013539042821158587,0.010553762105785847
2022-07-05,0.035962029937933515,0.018930396602605537,0.012597272517143265,0.005591798695246952,0.0015841770513915776
2022-07-06,0.007312775330396537,0.009607233681830918,0.012782956058588368,-0.03398208217485321,0.0035731157621645693
2022-07-07,0.017493221376716495,0.023999440246291748,0.008226588032004711,0.044451551007355095,0.014964578110208349
2022-07-08,-0.006791025530817452,0.004714724974376416,-0.002757078986587058,-0.010716472749540573,-0.0008302114989416909
2022-07-11,-0.03280249264324053,-0.014757889009793135,-0.0117686617350371,-0.04456824512534818,-0.011527473598367033
2022-07-12,-0.022639821029082796,0.006833712984054774,-0.04098143737476845,0.02137998056365409,-0.009243908956706903
2022-07-13,0.01080388207288041,-0.002536679007267284,-0.0037450230614577418,0.00602600697748179,-0.004456897454697795
2022-07-14,0.002083333333333215,0.020482507388823956,0.005381449825894391,-0.004098360655737654,-0.00299859539478875
2022-07-15,0.02639428726385251,0.011450124604297063,0.010390428211586977,0.04051915163026276,0.019201241036518768
2022-07-18,0.001849405548216776,-0.020643270959579074,-0.00962137737612978,-0.0076057195010648115,-0.008363619420370894
2022-07-19,0.03911744022503516,0.02672196913034619,0.02076696165191727,0.05456774984671986,0.027628333137554417
2022-07-20,0.038575416631418724,0.013509933774834337,0.010557546333757273,0.010465116279069653,0.005895816028186118
