,date,open,high,low,close,volume,oi
0,2020-01-21 09:15:00+05:30,1332.0,1344.6,1320.0,1341.85,676467,0
1,2020-01-21 09:30:00+05:30,1341.9,1343.0,1333.55,1337.0,254263,0
2,2020-01-21 09:45:00+05:30,1337.45,1350.0,1335.85,1346.65,496647,0
3,2020-01-21 10:00:00+05:30,1346.5,1347.7,1337.05,1339.0,194269,0
4,2020-01-21 10:15:00+05:30,1339.1,1339.85,1327.5,1331.65,392508,0
5,2020-01-21 10:30:00+05:30,1331.0,1334.0,1330.0,1333.35,149617,0
6,2020-01-21 10:45:00+05:30,1333.5,1333.75,1325.65,1329.0,190778,0
7,2020-01-21 11:00:00+05:30,1328.95,1336.7,1328.2,1335.2,133259,0
8,2020-01-21 11:15:00+05:30,1335.7,1336.4,1332.55,1335.5,87356,0
9,2020-01-21 11:30:00+05:30,1335.5,1339.8,1335.15,1337.6,121607,0
10,2020-01-21 11:45:00+05:30,1337.6,1339.0,1336.15,1337.55,64695,0
11,2020-01-21 12:00:00+05:30,1337.55,1342.95,1337.05,1339.0,192682,0
12,2020-01-21 12:15:00+05:30,1339.0,1339.0,1333.75,1338.85,78824,0
13,2020-01-21 12:30:00+05:30,1338.55,1339.0,1334.8,1337.0,57779,0
14,2020-01-21 12:45:00+05:30,1336.45,1339.55,1336.45,1337.7,52978,0
15,2020-01-21 13:00:00+05:30,1338.0,1340.9,1337.35,1338.75,77490,0
16,2020-01-21 13:15:00+05:30,1338.8,1340.5,1336.1,1340.2,57683,0
17,2020-01-21 13:30:00+05:30,1340.2,1342.95,1336.8,1337.85,77944,0
18,2020-01-21 13:45:00+05:30,1337.85,1340.0,1336.8,1339.0,49367,0
19,2020-01-21 14:00:00+05:30,1339.0,1339.95,1337.0,1339.25,53289,0
20,2020-01-21 14:15:00+05:30,1339.6,1342.0,1335.1,1337.15,153944,0
21,2020-01-21 14:30:00+05:30,1337.3,1341.7,1336.5,1339.85,111996,0
22,2020-01-21 14:45:00+05:30,1339.5,1349.3,1339.0,1343.15,238597,0
23,2020-01-21 15:00:00+05:30,1344.0,1344.2,1335.1,1336.3,215931,0
24,2020-01-21 15:15:00+05:30,1336.3,1336.45,1333.0,1335.0,314851,0
25,2020-01-22 09:15:00+05:30,1346.35,1348.0,1339.1,1341.9,304690,0
26,2020-01-22 09:30:00+05:30,1341.9,1342.5,1334.2,1338.0,207354,0
27,2020-01-22 09:45:00+05:30,1338.0,1340.4,1335.6,1337.0,122837,0
28,2020-01-22 10:00:00+05:30,1337.0,1338.0,1331.75,1332.4,129634,0
29,2020-01-22 10:15:00+05:30,1332.0,1333.85,1326.6,1328.5,264993,0
30,2020-01-22 10:30:00+05:30,1328.5,1330.8,1323.05,1330.8,203583,0
31,2020-01-22 10:45:00+05:30,1330.45,1333.8,1330.25,1331.0,95258,0
32,2020-01-22 11:00:00+05:30,1331.0,1333.4,1330.0,1331.1,74920,0
33,2020-01-22 11:15:00+05:30,1331.1,1332.95,1330.0,1331.0,58593,0
34,2020-01-22 11:30:00+05:30,1331.0,1332.9,1330.5,1332.0,58802,0
35,2020-01-22 11:45:00+05:30,1332.0,1332.8,1330.0,1331.85,72789,0
36,2020-01-22 12:00:00+05:30,1331.85,1332.6,1328.1,1328.6,64504,0
37,2020-01-22 12:15:00+05:30,1328.4,1332.0,1328.4,1331.5,30111,0
38,2020-01-22 12:30:00+05:30,1331.7,1332.6,1330.55,1332.55,46012,0
39,2020-01-22 12:45:00+05:30,1332.6,1339.25,1331.7,1338.35,160423,0
40,2020-01-22 13:00:00+05:30,1338.05,1339.0,1335.0,1335.3,76908,0
41,2020-01-22 13:15:00+05:30,1335.25,1339.0,1335.25,1338.5,96261,0
42,2020-01-22 13:30:00+05:30,1338.45,1342.4,1337.3,1338.65,112511,0
43,2020-01-22 13:45:00+05:30,1339.0,1341.0,1336.0,1337.65,68871,0
44,2020-01-22 14:00:00+05:30,1338.2,1338.5,1331.5,1333.5,129752,0
45,2020-01-22 14:15:00+05:30,1333.5,1334.0,1330.2,1331.0,89683,0
46,2020-01-22 14:30:00+05:30,1330.7,1332.4,1330.7,1332.0,50629,0
47,2020-01-22 14:45:00+05:30,1332.0,1334.35,1331.0,1333.0,82665,0
48,2020-01-22 15:00:00+05:30,1333.0,1334.5,1329.0,1329.65,128098,0
49,2020-01-22 15:15:00+05:30,1329.65,1329.75,1323.45,1326.85,302288,0
50,2020-01-23 09:15:00+05:30,1330.0,1330.0,1320.3,1326.9,506780,0
51,2020-01-23 09:30:00+05:30,1327.45,1332.75,1322.0,1322.0,378995,0
52,2020-01-23 09:45:00+05:30,1322.0,1325.7,1322.0,1324.6,211917,0
53,2020-01-23 10:00:00+05:30,1324.6,1326.0,1322.75,1324.8,106971,0
54,2020-01-23 10:15:00+05:30,1324.8,1326.7,1321.0,1321.7,155105,0
55,2020-01-23 10:30:00+05:30,1321.2,1327.4,1321.05,1326.6,144643,0
56,2020-01-23 10:45:00+05:30,1327.0,1327.3,1320.65,1323.65,81796,0
57,2020-01-23 11:00:00+05:30,1323.5,1324.7,1322.7,1322.8,64791,0
58,2020-01-23 11:15:00+05:30,1323.2,1329.2,1322.9,1325.35,165501,0
59,2020-01-23 11:30:00+05:30,1325.35,1328.5,1324.65,1326.75,85093,0
60,2020-01-23 11:45:00+05:30,1326.85,1332.55,1326.5,1332.2,339090,0
61,2020-01-23 12:00:00+05:30,1332.2,1336.2,1330.7,1333.45,353301,0
62,2020-01-23 12:15:00+05:30,1333.45,1338.35,1332.35,1333.35,179212,0
63,2020-01-23 12:30:00+05:30,1333.35,1338.0,1329.4,1335.6,165911,0
64,2020-01-23 12:45:00+05:30,1335.55,1336.8,1333.45,1336.4,63444,0
65,2020-01-23 13:00:00+05:30,1336.4,1339.75,1335.05,1338.35,130085,0
66,2020-01-23 13:15:00+05:30,1338.35,1339.5,1335.0,1336.45,79155,0
